experiment_id,category,dataset,method,model,condition,accuracy,macro_f1,std_accuracy,std_macro_f1,source_metrics_file,source_figure_file,status,notes
foundation_preprocessing_segmentation,preprocessing,db5,activity_segmentation,,summary,,,,,report/segment_summary.csv,presentation_segmentation_detail.png,index,segmentation summary and visualization
foundation_ml_lda,ml_baseline,db5,TD/FD/AR,LDA,clean,0.3770313580077681,0.375996538601272,0.008122780549112073,0.007888023717226534,report/ml_db5_baseline.csv,,confirmed,baseline ML comparison
foundation_ml_svm_rbf,ml_baseline,db5,TD/FD/AR,SVM_RBF,clean,0.7259269124404465,0.7267389153701616,0.004064316087760636,0.003912431627581845,report/ml_db5_baseline.csv,,confirmed,baseline ML comparison
foundation_ml_rf,ml_baseline,db5,TD/FD/AR,RF,clean,0.9207804208172462,0.9207315153383403,0.0047250438664110175,0.004708807304256996,report/ml_db5_baseline.csv,,confirmed,baseline ML comparison
foundation_ablation_td_lda,feature_ablation,db5,TD,LDA,clean,0.3497416684112386,0.34793079034393753,0.00806853377568596,0.007877232191560082,report/ml_db5_feature_ablation.csv,figures/Figure_3-Feature_Ablation_RF.png,confirmed,feature ablation comparison
foundation_ablation_td_svm_rbf,feature_ablation,db5,TD,SVM_RBF,clean,0.7266372091136912,0.7274202141209295,0.004331245654304425,0.004181226141177233,report/ml_db5_feature_ablation.csv,figures/Figure_3-Feature_Ablation_RF.png,confirmed,feature ablation comparison
foundation_ablation_td_rf,feature_ablation,db5,TD,RF,clean,0.9234574790760499,0.9232845070812274,0.004246101592537819,0.004223724588093976,report/ml_db5_feature_ablation.csv,figures/Figure_3-Feature_Ablation_RF.png,confirmed,feature ablation comparison
foundation_ablation_td_fd_lda,feature_ablation,db5,TD+FD,LDA,clean,0.362089167295751,0.3605322926450273,0.006763665619687603,0.00668617577268659,report/ml_db5_feature_ablation.csv,figures/Figure_3-Feature_Ablation_RF.png,confirmed,feature ablation comparison
foundation_ablation_td_fd_svm_rbf,feature_ablation,db5,TD+FD,SVM_RBF,clean,0.7296693877263197,0.7304581356479847,0.004150065376100863,0.003947240326013016,report/ml_db5_feature_ablation.csv,figures/Figure_3-Feature_Ablation_RF.png,confirmed,feature ablation comparison
foundation_ablation_td_fd_rf,feature_ablation,db5,TD+FD,RF,clean,0.9227472159821619,0.9226051375897208,0.004031924027097809,0.004064349164252206,report/ml_db5_feature_ablation.csv,figures/Figure_3-Feature_Ablation_RF.png,confirmed,feature ablation comparison
foundation_ablation_td_fd_ar_lda,feature_ablation,db5,TD+FD+AR,LDA,clean,0.3770313580077681,0.375996538601272,0.008122780549112073,0.007888023717226534,report/ml_db5_feature_ablation.csv,figures/Figure_3-Feature_Ablation_RF.png,confirmed,feature ablation comparison
foundation_ablation_td_fd_ar_svm_rbf,feature_ablation,db5,TD+FD+AR,SVM_RBF,clean,0.7259269124404465,0.7267389153701616,0.004064316087760636,0.003912431627581845,report/ml_db5_feature_ablation.csv,figures/Figure_3-Feature_Ablation_RF.png,confirmed,feature ablation comparison
foundation_ablation_td_fd_ar_rf,feature_ablation,db5,TD+FD+AR,RF,clean,0.9207804208172462,0.9207315153383403,0.0047250438664110175,0.004708807304256996,report/ml_db5_feature_ablation.csv,figures/Figure_3-Feature_Ablation_RF.png,confirmed,feature ablation comparison
foundation_noise_clean_lvl00_none_lda,noise_robustness,db5,clean,LDA,noise=clean; level=0.0; denoise=none,0.3770313580077681,0.375996538601272,0.008122780549112073,0.007888023717226534,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_clean_lvl00_none_svm_rbf,noise_robustness,db5,clean,SVM_RBF,noise=clean; level=0.0; denoise=none,0.7259269124404465,0.7267389153701616,0.004064316087760636,0.003912431627581845,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_clean_lvl00_none_rf,noise_robustness,db5,clean,RF,noise=clean; level=0.0; denoise=none,0.9207804208172462,0.9207315153383403,0.0047250438664110175,0.004708807304256996,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
foundation_noise_wgn_lvl100_none_lda,noise_robustness,db5,wgn,LDA,noise=wgn; level=10.0; denoise=none,0.35373009383079684,0.3523505411417628,0.003949349440152416,0.00399496009903018,report/robust_db5_noise.csv,figures/robustness_heatmap.png,confirmed,clean vs noisy key comparison
